label,study,arm,es,year,TESTEX,age,sex_%_male,weight,bmi,train_status,healthy_clinical,RT_only,weeks,freq,exercises,sets_exercise,reps,load,task_failure_y_n,outcome,measure,region,specific_region,study_design,RT_n,RT_pre_m,RT_post_m,RT_delta_m,RT_pre_se,RT_post_se,RT_delta_se,RT_pre_sd,RT_post_sd,RT_delta_sd,RT_delta_CI_lower,RT_delta_CI_upper,RT_delta_t_value,RT_delta_p_value,CON_n,CON_pre_m,CON_post_m,CON_delta_m,CON_pre_se,CON_post_se,CON_delta_se,CON_pre_sd,CON_post_sd,CON_delta_sd,CON_delta_CI_lower,CON_delta_CI_upper,CON_delta_t_value,CON_delta_p_value,Notes
"Abe et al., Eur J Appl Physiol, 2000",1,1,1,2000,6,38.95217391,100,,27.55217391,untrained,healthy,y,12,3,6,3,10,65,y,hypertrophy,DXA,total,total,between,17,61.1,62.7,,,,,5.1,5.3,,,,,,6,62.4,62,,,,,6.4,5.7,,,,,,
"Abe et al., Eur J Appl Physiol, 2000",1,1,2,2000,6,38.95217391,100,,27.55217391,untrained,healthy,y,12,3,6,3,10,65,y,strength,1RM,lower,knee extension,between,17,171,211,,,,,30,28,,,,,0.05,6,177,186,,,,,22,21,,,,,,
"Abe et al., Eur J Appl Physiol, 2000",1,1,3,2000,6,38.95217391,100,,27.55217391,untrained,healthy,y,12,3,6,3,10,65,y,strength,1RM,upper,chest press,between,17,153,188,,,,,27,26,,,,,0.05,6,258,253,,,,,36,30,,,,,,
"Abe et al., Eur J Appl Physiol, 2000",1,1,4,2000,6,38.95217391,100,,27.55217391,untrained,healthy,y,12,3,6,3,10,65,y,hypertrophy,US,upper,biceps,between,17,2.98,3.45,,,,,0.36,0.27,,,,,0.05,6,3.27,3.22,,,,,0.28,0.26,,,,,,
"Abe et al., Eur J Appl Physiol, 2000",1,1,5,2000,6,38.95217391,100,,27.55217391,untrained,healthy,y,12,3,6,3,10,65,y,hypertrophy,US,upper,triceps,between,17,4.55,5.07,,,,,0.47,0.45,,,,,0.05,6,4.33,4.32,,,,,0.41,0.49,,,,,,
"Abe et al., Eur J Appl Physiol, 2000",1,1,6,2000,6,38.95217391,100,,27.55217391,untrained,healthy,y,12,3,6,3,10,65,y,hypertrophy,US,upper,pectoralis,between,17,3.01,3.57,,,,,0.59,0.44,,,,,0.05,6,2.82,2.72,,,,,0.56,0.47,,,,,,
"Abe et al., Eur J Appl Physiol, 2000",1,1,7,2000,6,38.95217391,100,,27.55217391,untrained,healthy,y,12,3,6,3,10,65,y,hypertrophy,US,upper,quadriceps,between,17,6.12,6.4,,,,,0.61,0.63,,,,,,6,6.27,6.18,,,,,0.52,0.53,,,,,,
"Abe et al., Eur J Appl Physiol, 2000",1,1,8,2000,6,38.95217391,100,,27.55217391,untrained,healthy,y,12,3,6,3,10,65,y,hypertrophy,US,upper,quadriceps,between,17,5.28,5.64,,,,,0.52,0.58,,,,,,6,5.53,5.48,,,,,0.71,0.74,,,,,,
"Abe et al., Eur J Appl Physiol, 2000",1,1,9,2000,6,38.95217391,100,,27.55217391,untrained,healthy,y,12,3,6,3,10,65,y,hypertrophy,US,upper,quadriceps,between,17,3.84,4.19,,,,,0.56,0.65,,,,,,6,3.95,3.87,,,,,0.5,0.63,,,,,,
"Abe et al., Eur J Appl Physiol, 2000",1,1,10,2000,6,38.95217391,100,,27.55217391,untrained,healthy,y,12,3,6,3,10,65,y,hypertrophy,US,upper,quadriceps,between,17,6.09,6.62,,,,,0.51,0.52,,,,,0.05,6,6.02,6.05,,,,,0.61,0.54,,,,,,
"Abe et al., Eur J Appl Physiol, 2000",1,1,11,2000,6,38.95217391,100,,27.55217391,untrained,healthy,y,12,3,6,3,10,65,y,hypertrophy,US,upper,quadriceps,between,17,5.68,6.11,,,,,0.4,0.59,,,,,,6,5.63,5.67,,,,,0.5,0.4,,,,,,
"Abe et al., Eur J Appl Physiol, 2000",1,2,12,2000,6,41.93333333,0,,23.89259259,untrained,healthy,y,12,3,6,3,10,65,y,hypertrophy,DXA,total,total,between,20,41,41.7,,,,,3.5,3.5,,,,,,7,42.3,42.3,,,,,5.1,5.2,,,,,,
"Abe et al., Eur J Appl Physiol, 2000",1,2,13,2000,6,41.93333333,0,,23.89259259,untrained,healthy,y,12,3,6,3,10,65,y,strength,1RM,lower,knee extension,between,20,94,116,,,,,23,20,,,,,0.05,7,93,91,,,,,9,15,,,,,,
"Abe et al., Eur J Appl Physiol, 2000",1,2,14,2000,6,41.93333333,0,,23.89259259,untrained,healthy,y,12,3,6,3,10,65,y,strength,1RM,upper,chest press,between,20,61,84,,,,,14,16,,,,,0.05,7,58,58,,,,,13,14,,,,,,
"Abe et al., Eur J Appl Physiol, 2000",1,2,15,2000,6,41.93333333,0,,23.89259259,untrained,healthy,y,12,3,6,3,10,65,y,hypertrophy,US,upper,biceps,between,20,1.78,2.1,,,,,0.31,0.32,,,,,0.05,7,1.8,1.77,,,,,0.29,0.24,,,,,,
"Abe et al., Eur J Appl Physiol, 2000",1,2,16,2000,6,41.93333333,0,,23.89259259,untrained,healthy,y,12,3,6,3,10,65,y,hypertrophy,US,upper,triceps,between,20,3.26,3.56,,,,,0.35,0.34,,,,,0.05,7,3.27,3.37,,,,,0.44,0.39,,,,,,
"Abe et al., Eur J Appl Physiol, 2000",1,2,17,2000,6,41.93333333,0,,23.89259259,untrained,healthy,y,12,3,6,3,10,65,y,hypertrophy,US,upper,pectoralis,between,20,1.58,2.03,,,,,0.34,0.34,,,,,,7,1.39,1.49,,,,,0.27,0.32,,,,,,
"Abe et al., Eur J Appl Physiol, 2000",1,2,18,2000,6,41.93333333,0,,23.89259259,untrained,healthy,y,12,3,6,3,10,65,y,hypertrophy,US,upper,quadriceps,between,20,5.15,5.28,,,,,0.68,0.57,,,,,,7,5.1,5.1,,,,,0.37,0.28,,,,,,
"Abe et al., Eur J Appl Physiol, 2000",1,2,19,2000,6,41.93333333,0,,23.89259259,untrained,healthy,y,12,3,6,3,10,65,y,hypertrophy,US,upper,quadriceps,between,20,4.3,4.61,,,,,0.55,0.57,,,,,,7,4.3,4.34,,,,,0.22,0.29,,,,,,
"Abe et al., Eur J Appl Physiol, 2000",1,2,20,2000,6,41.93333333,0,,23.89259259,untrained,healthy,y,12,3,6,3,10,65,y,hypertrophy,US,upper,quadriceps,between,20,3.18,3.49,,,,,0.59,0.59,,,,,,7,3.01,3.03,,,,,0.35,0.39,,,,,,
